# Last workflow run on (ET): 2025-08-27 14:27:53
NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
64644,"Transport Canada Recall - 2022448 - POLARIS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2022448-polaris,TC,"Snowmobile recalled by POLARIS","Fuel System",,Snowmobile,,2024-02-26,0
75018,"Transport Canada Recall - 2024051 - NISSAN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024051-nissan,TC,"SUV recalled by NISSAN",Structure,,SUV,,2024-02-26,0
75122,"Transport Canada Recall - 2024084 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024084-ford,TC,"SUV recalled by FORD","Seats And Restraints",,SUV,,2024-02-26,0
75137,"Transport Canada Recall - 2024094 - BMW",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024094-bmw,TC,"SUV recalled by BMW",Label,,SUV,,2024-02-26,0
75138,"Transport Canada Recall - 2024095 - VOLKSWAGEN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024095-volkswagen,TC,"Car recalled by VOLKSWAGEN","Fuel System",,Car,,2024-02-26,0
75139,"Transport Canada Recall - 2024098 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024098-fiat-chrysler-automobiles,TC,"SUV recalled by FIAT CHRYSLER AUTOMOBILES","Heater And Defroster",,SUV,,2024-02-26,0
75140,"Transport Canada Recall - 2024099 - HONDA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024099-honda,TC,"Minivan recalled by HONDA",Steering,,Minivan,,2024-02-26,0
75143,"Transport Canada Recall - 2024103 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024103-mercedes-benz,TC,"SUV recalled by MERCEDES-BENZ",Powertrain,,SUV,,2024-02-26,0
75144,"Transport Canada Recall - 2024104 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024104-mercedes-benz,TC,"SUV recalled by MERCEDES-BENZ",Structure,,SUV,,2024-02-26,0
75145,"Transport Canada Recall - 2024105 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024105-mercedes-benz,TC,"Car recalled by MERCEDES-BENZ",Electrical,,"Car - SUV",,2024-02-26,0
75146,"Transport Canada Recall - 2024113 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024113-fiat-chrysler-automobiles,TC,"SUV recalled by FIAT CHRYSLER AUTOMOBILES","Lights And Instruments",,SUV,,2024-02-26,0
64886,"Transport Canada Recall - 2022198 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2022198-ford,TC,"SUV recalled by FORD",Powertrain,,SUV,,2024-02-23,0
74788,"Transport Canada Recall - 2023653 - VINFAST AUTO CANADA INC.",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2023653-vinfast-auto-canada-inc,TC,"SUV recalled by VINFAST AUTO CANADA INC.",Electrical,,SUV,,2024-02-23,0
75069,"Biofire® Blood Culture Identification 2 (BCID2)",https://recalls-rappels.canada.ca/en/alert-recall/biofirer-blood-culture-identification-2-bcid2,"Medical devices","Biofire® Blood Culture Identification 2 (BCID2)",Performance,,Chemistry,"Type II",2024-02-23,0
75131,"Proline Powerseal Cyanoacrylate Adhesive and Activator recalled due to Improper Packaging and Labelling",https://recalls-rappels.canada.ca/en/alert-recall/proline-powerseal-cyanoacrylate-adhesive-and-activator-recalled-due-improper-packaging,"Consumer product safety","Proline Powerseal Cyanoacrylate Adhesive and Activator","Labelling and packaging","Consumers should immediately stop using the recalled products and contact Toolway Industries Ltd.&nbsp; to arrange a return for refund.&nbsp;For more information, consumers can contact Toolway Industries Ltd. by telephone at (905) 326-5450, from 8 am to 5 pm E.T., Monday to Friday, by email at info@toolway.com or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Chemicals,,2024-02-23,0
75115,"MSR Camping Cooking Pots by Cascade Designs recalled due to burn and scald hazards",https://recalls-rappels.canada.ca/en/alert-recall/msr-camping-cooking-pots-cascade-designs-recalled-due-burn-and-scald-hazards,"Consumer product safety","MSR camping cooking pots","Burn hazard","Consumers should immediately stop using the recalled camping cooking pot and contact Cascade Designs for a free replacement pot handle/lifter. The replacement pot handle/lifter does not require tools to install.&nbsp; &nbsp;For more information, consumers can contact Cascade Designs Inc. &nbsp;by telephone at 800-531-9531, from 8 a.m. to 4 p.m. PT, Monday through Friday or visit the company website https://www.msrgear.com/pot-recall.html or &nbsp;www.msrgear.com and then click on the “Recall Header” at the top of the page. Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC), Mexico’s Consumer Protection Federal Agency (PROFECO) and Cascade Designs Inc.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Sports and fitness",,2024-02-22,0
75116,"Delizia brand Vegetarian Beef Ball recalled due to undeclared wheat",https://recalls-rappels.canada.ca/en/alert-recall/delizia-brand-vegetarian-beef-ball-recalled-due-undeclared-wheat,CFIA,"Vegetarian Beef Ball ","Gluten - Wheat","Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionIf you have celiac disease or other gluten-related disorders, do not consume the recalled product&nbsp;as it&nbsp;may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Multiple food items","Class 1",2024-02-22,0
75117,"DLP Vessel Cannulae",https://recalls-rappels.canada.ca/en/alert-recall/dlp-vessel-cannulae,"Medical devices","DLP Vessel Cannulae","Labelling and packaging",,Cardiovascular,"Type II",2024-02-22,0
75118,"Arrow Radial Artery Catheterization Set",https://recalls-rappels.canada.ca/en/alert-recall/arrow-radial-artery-catheterization-set,"Medical devices","Arrow Radial Artery Catheterization Set",Performance,,"General hospital and personal use","Type II",2024-02-22,0
75129,"Transport Canada Recall - 2024093 - KIA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024093-kia,TC,"SUV recalled by KIA",Electrical,,SUV,,2024-02-22,0
74937,"FirstPower 4000mAh V6 Battery Replacement for Dyson V6 Series Vacuums recalled due to fire and burn hazard ",https://recalls-rappels.canada.ca/en/alert-recall/firstpower-4000mah-v6-battery-replacement-dyson-v6-series-vacuums-recalled-due-fire,"Consumer product safety","FirstPower 4000mAh V6 Battery Replacement for Dyson V6 Series Vacuums ","Fire hazard - Burn hazard","Consumers who have these affected products should immediately stop using them and safely dispose of the items in such a way that they cannot be used again. Contact your municipality for instructions on how to safely transport and dispose of lithium-ion batteries. Batteries are considered hazardous waste. Do not place them in household garbage. Consumers can contact Shenzhen Lepower International Electronics Co.,Ltd for a full refund or a new product for free.For more information, consumers can contact Shenzhen Lepower International Electronics Co.,Ltd by email at amazonpowerone@gmail.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada Health Canada would like to remind consumers to report any health or safety incidents related to the use of these products or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form. This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Electronics,,2024-02-21,0
75085,"Bành Pia brand Hopia Cake recalled due to undeclared egg",https://recalls-rappels.canada.ca/en/alert-recall/banh-pia-brand-hopia-cake-recalled-due-undeclared-egg,CFIA,"Hopia Cake",Egg,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,"Class 1",2024-02-21,0
75104,"Various Toshiba-brand AC adapters recalled due to risk of fire and burn hazard ",https://recalls-rappels.canada.ca/en/alert-recall/various-toshiba-brand-ac-adapters-recalled-due-risk-fire-and-burn-hazard,"Consumer product safety","Various Toshiba-brand AC adapters ","Fire hazard - Burn hazard","Consumers should immediately dispose of all affected AC Adapters that remain in use and contact DCI for a free replacement AC adapter.For more information, consumers can contact Dynabook Canada Inc. (DCI)’s bilingual consumer support by telephone at 1-800-663-0378, between 9:00 am and 5:00 pm EST, Monday to Friday, by email at DBC-Support@dynabook.com or visit the company website.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Dynabook Canada Inc.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Electronics,,2024-02-21,0
75105,"iTrust Heavy Duty Wall Charger Real 2.1 A recalled due to electric shock hazard",https://recalls-rappels.canada.ca/en/alert-recall/itrust-heavy-duty-wall-charger-real-21-recalled-due-electric-shock-hazard,"Consumer product safety","iTrust Heavy Duty Wall Charger Real 2.1 A ","Electrical hazard","Consumers should immediately stop using the recalled product and dispose of the product in accordance with municipal electronic waste requirements.For more information, consumers can contact MSB Trading by telephone at 778-855-7860 from 10:00 am – 5:00 pm PST, or by email at&nbsp;&nbsp;msb.trading@yahoo.ca.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Electronics,,2024-02-21,0
75106,"Health Canada warns that FeraDyne Outdoors Rhino Tree Stand Safety Harnesses may pose a fall hazard",https://recalls-rappels.canada.ca/en/alert-recall/health-canada-warns-feradyne-outdoors-rhino-tree-stand-safety-harnesses-may-pose-fall,"Consumer product safety","FeraDyne Outdoors Rhino Tree Stand Safety Harness","Fall hazard","Consumers who have the affected product should immediately stop using it. Regularly check the&nbsp;Healthy Canadians Recalls and Safety Alerts database&nbsp;for dangerous products and take action to remove items of concern.Health Canada would like to remind consumers to report any health or safety incidents related to the use of these products or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form. Related linksBuying consumer products onlineOnline consumer product guidesStay connected with Health Canada and receive the latest advisories and product recalls using&nbsp;social media&nbsp;tools.","Sports and fitness",,2024-02-21,0
75107,"Various Bico Estonia Custom Window Coverings with Ties recalled due to strangulation hazard to children  ",https://recalls-rappels.canada.ca/en/alert-recall/various-bico-estonia-custom-window-coverings-ties-recalled-due-strangulation-hazard,"Consumer product safety","Various Bico Estonia window coverings with ties","Strangulation hazard","Consumers should immediately stop using the recalled products and keep all cords away from children. For more information, consumers can contact the vendor by logging into their Etsy account and can also visit Help Centre for guidance. Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind Canadians to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2024-02-21,0
75108,"MitreBond Aerosol Activator recalled due to improper labelling ",https://recalls-rappels.canada.ca/en/alert-recall/mitrebond-aerosol-activator-recalled-due-improper-labelling,"Consumer product safety","MitreBond Aerosol Activator","Labelling and packaging","Consumers should immediately stop using the recalled product and dispose of the product according to municipal hazardous waste guidelines. For more information, consumers can contact Archmill Products Inc. by telephone at 905-648-9501 from 9 am to 5 pm E.T., Monday to Friday or by email at orderdesk@archmillproducts.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Chemicals,,2024-02-21,0
75120,"Transport Canada Recall - 2024082 - VERMEER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024082-vermeer,TC,"Equipment recalled by VERMEER",Structure,,Equipment,,2024-02-21,0
75123,"Transport Canada Recall - 2024086 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024086-forest-river,TC,"Motorhome recalled by FOREST RIVER",Structure,,Motorhome,,2024-02-21,0
75125,"Transport Canada Recall - 2024088 - NEWMAR",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024088-newmar,TC,"Motorhome recalled by NEWMAR",Steering,,Motorhome,,2024-02-21,0
75126,"Transport Canada Recall - 2024089 - HYUNDAI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024089-hyundai,TC,"Car recalled by HYUNDAI",Electrical,,Car,,2024-02-21,0
75127,"Transport Canada Recall - 2024090 - HYUNDAI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024090-hyundai,TC,"SUV recalled by HYUNDAI",Engine,,SUV,,2024-02-21,0
75128,"Transport Canada Recall - 2024092 - TRIUMPH",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024092-triumph,TC,"Motorcycle recalled by TRIUMPH",Suspension,,Motorcycle,,2024-02-21,0
75132,"Uncle Yiannis brand Roasted Eggplant Puree recalled due to undeclared sulphites ",https://recalls-rappels.canada.ca/en/alert-recall/uncle-yiannis-brand-roasted-eggplant-puree-recalled-due-undeclared-sulphites,CFIA,"Roasted Eggplant Puree",Sulphites,,"Fruits and vegetables","Class 2",2024-02-21,0
59479,"  Paclitaxel-Coated Balloons (PCB) and Paclitaxel-Eluting Stents (PES) for the Treatment of Peripheral Arterial Disease (PAD) and the Potential Risk of Long-Term All-Cause Mortality ",https://recalls-rappels.canada.ca/en/alert-recall/paclitaxel-coated-balloons-pcb-and-paclitaxel-eluting-stents-pes-treatment-peripheral,"Marketed health products"," Paclitaxel-Coated Balloons (PCB) and Paclitaxel-Eluting Stents (PES)","Product safety",,"Medical devices",,2024-02-20,0
65200,"Transport Canada Recall - 2021673 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021673-mercedes-benz,TC,"Car recalled by MERCEDES-BENZ",Engine,,Car,,2024-02-20,0
75094,"Transport Canada Recall - 2024071 - HINO",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024071-hino,TC,"Truck - Med. & H.D. recalled by HINO",Electrical,,"Truck - Med. & H.D.",,2024-02-20,0
75109,"Taylor Farms brand Mexican Style Street Corn Chopped (Salad) Kit recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/taylor-farms-brand-mexican-style-street-corn-chopped-salad-kit-recalled-due-salmonella,CFIA,"Mexican Style Street Corn Chopped (Salad) Kit",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Fresh,"Class 2",2024-02-20,0
75110,"Audrina 28 birth control pills: Day-of-the-week stickers in some lots have a misprint that could lead to confusion around dosing ",https://recalls-rappels.canada.ca/en/alert-recall/audrina-28-birth-control-pills-day-week-stickers-some-lots-have-misprint-could-lead,"Communications and Public Affairs Branch","Certain lots of Audrina 28 birth control pills (listed below)",Labelling,"  Take your Audrina 28 pills as prescribed. If your day-of-the-week sticker is misprinted and lists ""Tuesday"" instead of ""Thursday,"" you can:          Keep track of your daily pill intake independently or correct the error by writing the proper day on the sticker. Consider additional reminders to take your pill on schedule, such as a daily alarm;      Go to your pharmacy to request replacement day-of-the week stickers. Jamp Pharma Corp will begin distributing corrected stickers to Canadian pharmacies in the coming weeks; or      Contact Jamp Pharma Corp directly by calling 1-866-399-9091, or by e-mail at serviceclient@jamppharma.com, to request the correct day-of-the-week stickers.        Talk to a health care professional if you have questions or concerns about your birth control product, including about missed doses.  Report any health product-related&nbsp;side effects&nbsp;or&nbsp;complaints&nbsp;to Health Canada.",Drugs,,2024-02-20,0
75111,"Unisex by Eros and Company recalled due to physical hazard",https://recalls-rappels.canada.ca/en/alert-recall/unisex-eros-and-company-recalled-due-physical-hazard,"Consumer product safety","Unisex by Eros and Company","Physical hazard","Consumers should immediately stop using the recalled product and contact the company to obtain a new instruction manual. For more information, consumers can contact Ajpro Distribution by telephone at 450-681-0666, from 9am to 5pm, Monday to Friday, by email at service@ajpro.ca or visit the company's website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Other,,2024-02-20,0
75112,"Nutracelle Nutramin Vitamin for Kids : Affected lot contains Vitamin B6 and Folate levels outside of the labelled claim.",https://recalls-rappels.canada.ca/en/alert-recall/nutracelle-nutramin-vitamin-kids-affected-lot-contains-vitamin-b6-and-folate-levels,"Drugs and health products","Nutracelle Nutramin Vitamin for Kids ",Dosage,"Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Natural health products","Type III",2024-02-20,0
75113,"PDP-Desonide : Tubes may leak,  in the affected lot.",https://recalls-rappels.canada.ca/en/alert-recall/pdp-desonide-tubes-may-leak-affected-lot,"Drugs and health products",PDP-Desonide,Packaging,"Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2024-02-20,0
75083,"APO-MOMETASONE : Affected lots may contain the presence of bacterial contamination.",https://recalls-rappels.canada.ca/en/alert-recall/apo-mometasone-affected-lots-may-contain-presence-bacterial-contamination,"Drugs and health products",APO-MOMETASONE,Contamination,"Do not use the affected product. Return it to your local pharmacy for&nbsp;proper disposal.Seek medical attention if you or your child have used this product and are experiencing persistent or worsening symptoms, such as fevers, or facial pain or pressure. Consult a health care professional if you or your child have used this product and have health concerns.Contact Apotex Inc. via Sedgwick by calling 1-844-265-7389 if you have questions about this recall.Report any health product-related&nbsp;side effects&nbsp;or&nbsp;complaints&nbsp;to Health Canada.","Health products","Type II",2024-02-19,0
75103,"APO-Mometasone nasal spray: Two lots recalled due to possible risk of infection",https://recalls-rappels.canada.ca/en/alert-recall/apo-mometasone-nasal-spray-two-lots-recalled-due-possible-risk-infection,"Communications and Public Affairs Branch","APO-Mometasone nasal spray, 50 mcg/metered spray",Contamination,"Do not use the affected product. Return it to your local pharmacy for proper disposal.Seek medical attention if you or your child have used this product and are experiencing persistent or worsening symptoms, such as fevers, or facial pain or pressure. Consult a health care professional if you or your child have used this product and have health concerns.Contact Apotex Inc. Customer Service by calling 1-877-427-6839 if you have questions about this recall.Report any health product-related&nbsp;side effects&nbsp;or&nbsp;complaints&nbsp;to Health Canada.",Drugs,,2024-02-19,0
75088,"Certain brands of eggs recalled due to Salmonella ",https://recalls-rappels.canada.ca/en/alert-recall/certain-brands-eggs-recalled-due-salmonella,CFIA,Eggs,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsConsumers who are unsure if they have purchased the recalled product are advised to contact their retailerDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Egg products","Class 2",2024-02-17,0
73615,"Water beads may pose life-threatening risks to young children",https://recalls-rappels.canada.ca/en/alert-recall/water-beads-may-pose-life-threatening-risks-young-children,"Communications and Public Affairs Branch","Water beads","Aspiration hazard - Choking hazard - Injury hazard",,"Arts, crafts and needlework - Toys and games",,2024-02-16,0
75078,"Trend Logic 2.1A iPhone Home Charging Kit recalled due to electric shock hazard",https://recalls-rappels.canada.ca/en/alert-recall/trend-logic-21a-iphone-home-charging-kit-recalled-due-electric-shock-hazard,"Consumer product safety","Trend Logic 2.1A iPhone Home Charging Kit","Electrical hazard","Consumers should immediately stop using the recalled product and dispose of the product in accordance with municipal electronic waste requirements. For more information, consumers can contact Edge Imports Inc. by telephone at 972-247-5200 from 9:30 am – 4:30 pm CST, or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Electronics,,2024-02-16,0
75079,"Triathlon Total Knee Systems",https://recalls-rappels.canada.ca/en/alert-recall/triathlon-total-knee-systems,"Medical devices","Triathlon Total Knee Systems",Performance,,Orthopaedics,"Type II",2024-02-16,0
75080,"Cerebase Da Guide Sheath",https://recalls-rappels.canada.ca/en/alert-recall/cerebase-da-guide-sheath,"Medical devices","Cerebase Da Guide Sheath",Performance,,Cardiovascular,"Type II",2024-02-16,0
75081,"Airo Mobile CT System",https://recalls-rappels.canada.ca/en/alert-recall/airo-mobile-ct-system-0,"Medical devices","Airo Mobile CT System",Performance,,Radiology,"Type II",2024-02-16,0
75082,"Peg Perego Canada YPSI and Z4 Bassinets recalled due to risk of entrapment and suffocation",https://recalls-rappels.canada.ca/en/alert-recall/peg-perego-canada-ypsi-and-z4-bassinets-recalled-due-risk-entrapment-and-suffocation,"Consumer product safety","Peg Perego Canada YPSI and Z4 Bassinets","Entrapment hazard - Injury hazard","Consumers should immediately stop using the recalled bassinets and perform the correction of the bassinets inclined backrest by removing the adjustment feature. Consumers are directed to the Peg Perego Canada website&nbsp;for instructions on how to remove the backrest adjustment feature.For more information, consumers can contact Peg Perego Canada by telephone at 1-800-661-5050, Monday to Friday, from 9 a.m. to 5 p.m. EST, or via email at info.canada@pegperego.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Other,,2024-02-16,0
75089,"Transport Canada Recall - 2024065 - TIFFIN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024065-tiffin,TC,"Motorhome recalled by TIFFIN",Electrical,,Motorhome,,2024-02-16,0
75090,"Transport Canada Recall - 2024066 - NOVA BUS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024066-nova-bus,TC,"Bus recalled by NOVA BUS","Lights And Instruments",,Bus,,2024-02-16,0
75092,"Transport Canada Recall - 2024069 - LUCID MOTORS, INC.",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024069-lucid-motors-inc,TC,"Car recalled by LUCID MOTORS, INC.",Powertrain,,Car,,2024-02-16,0
75093,"Transport Canada Recall - 2024070 - BLUE BIRD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024070-blue-bird,TC,"School Bus recalled by BLUE BIRD","Seats And Restraints",,"School Bus",,2024-02-16,0
75095,"Transport Canada Recall - 2024072 - KIA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024072-kia,TC,"SUV recalled by KIA",Powertrain,,SUV,,2024-02-16,0
75097,"Transport Canada Recall - 2024077 - RIVIAN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024077-rivian,TC,"SUV recalled by RIVIAN","Lights And Instruments",,"Light Truck & Van - SUV",,2024-02-16,0
75098,"Transport Canada Recall - 2024078 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024078-forest-river,TC,"Motorhome recalled by FOREST RIVER",Suspension,,Motorhome,,2024-02-16,0
75099,"Transport Canada Recall - 2024079 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024079-forest-river,TC,"RV Trailer recalled by FOREST RIVER",Structure,,"RV Trailer",,2024-02-16,0
75100,"Transport Canada Recall - 2024081 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024081-mercedes-benz,TC,"Car recalled by MERCEDES-BENZ",Electrical,,Car,,2024-02-16,0
75102,"Transport Canada Recall - 2024097 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024097-fiat-chrysler-automobiles,TC,"Car recalled by FIAT CHRYSLER AUTOMOBILES",Brakes,,Car,,2024-02-16,0
75114,"Flamingo brand Chicken Burgers Gluten Free and Olymel brand Chicken Popcorn recalled due to pieces of metal",https://recalls-rappels.canada.ca/en/alert-recall/flamingo-brand-chicken-burgers-gluten-free-and-olymel-brand-chicken-popcorn-recalled,CFIA,"Chicken Burgers Gluten Free and Chicken Popcorn","Extraneous Material",,Processed,"Class 2",2024-02-16,0
74981,"Frigidaire-Branded rear-control Range recalled due to electrical shock and electrocution hazards",https://recalls-rappels.canada.ca/en/alert-recall/frigidaire-branded-rear-control-range-recalled-due-electrical-shock-and-electrocution,"Consumer product safety","Frigidaire-Branded Rear-Control Range ","Electrical hazard","Consumers should immediately stop using the recalled Frigidaire rear-control range and contact Electrolux Group for a free repair/professional installation of a new control panel. &nbsp;Consumers should not use the range while awaiting the service call.&nbsp; Consumers should unplug the unit until repaired by an authorized servicer.To participate in the recall consumers can register online at&nbsp;www.rangeuirecall.ca or call 1-888-889-8933 from 8:30 a.m. to 8:00 p.m. ET, Monday through Friday (except statutory holidays).Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Electrolux Home Products, Inc. Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Appliances,,2024-02-15,0
